nama_produk,harga,penjual,kota,rating_produk,jml_review
Lipstik 3ce Set Mini Kit Red,Rp 26.900,Galeri Cantik Indonesia,Kab. Tangerang,5,9 ulasan
lipstik La Kesse,Rp 130.000,Mulya Berkah Olshop,Jakarta Barat,4.7,6 ulasan
Lipstik Hare original BPOM,Rp 4.500,OS OZ SHOP,Sidoarjo,5,1 ulasan
lipstik 3ce isi 10,Rp 42.500,CAMEELA,Jakarta Barat,5,1 ulasan
Lipstik Wardah Intense Matte Lipstick,Rp 45.300,MSL,Surabaya,5,1 ulasan
LIPSTIK NASA 05 MERAH BATA,Rp 75.000,PRODUK NASA ORIGINAL,Jakarta Selatan,5,2 ulasan
Shannen Lipstik Wander Lust,Rp 129.000,Nu Amoorea88,Rembang,5,1 ulasan
Shannen Lipstik Watermelon No.01,Rp 129.000,Nu Amoorea88,Rembang,5,2 ulasan
Focallure Lip Matte Lipstik Crayon Original,Rp 55.000,Galeri Cantik Indonesia,Kab. Tangerang,5,2 ulasan
Focallure Lip Matte Lipstik Crayon Original,Rp 55.000,Galeri Cantik Indonesia,Kab. Tangerang,5,2 ulasan
Bioaqua lipstik Charm mini kit isi 12pcs,Rp 34.000,Galeri Cantik Indonesia,Kab. Tangerang,4.7,3 ulasan
LIPSTIK MAYBELLINE WARNA MAKE ME BLUSH - THE PERFECT MATTE POWDER MATTES COLOR LIPSTIK ORIGINAL DENEICOLLECTION,Rp 65.000,DENEI COLLECTION,Jakarta Pusat,4.9,7 ulasan
The One Colour Unlimited Lipstik Super Matte,Rp 72.000,Ratrishop,Surabaya,5,1 ulasan
Lipstik 3ce Mini Kit Isi 10,Rp 54.000,Galeri Cantik Indonesia,Kab. Tangerang,5,2 ulasan
Lipstik ALAMI LC08PN PINK MENYALA TAHAN LAMA,Rp 75.000,IRMANDHA NASA,Jakarta Utara,5,1 ulasan
LIPSTIK KEREN WARNA PEACH MUDA,Rp 149.000,PRODUK NASA ORIGINAL,Jakarta Selatan,5,1 ulasan
LIP ON LIP MATTE NUDE LIPSTIK WARNA PASTEL MOISTURISING LONG LASTING AWET LUCU OT ACC,Rp 40.500,OT ACC,Semarang,4.8,14 ulasan
B ERL COSMETICS LIP MATTE CREAM LONG LASTING B ERL KOSMETIK LIP COLOR Lipstik tahan lama lipstik semua jenis bibir,Rp 110.000,OSB store,Jakarta Utara,5,2 ulasan
Lipstik Transparan Alami Aman Tahan Lama,Rp 75.000,PRODUK NASA ORIGINAL,Jakarta Selatan,4.5,2 ulasan
WARDAH  LIPCREAM MATTE EXCLUSIVE  LIPSTIK,Rp 41.500,AZaLea,Bekasi,4.4,28 ulasan
lipstik maybeliine colour sensacional,Rp 100.000,syavidi1611,Banyumas,4,1 ulasan
purbasari lipstik mate,Rp 62.000,Owl yellow,Indramayu,4.4,10 ulasan
Lipstik Shannen Shanen Viral Banget Lipstik Creamy Lip Pain Original,Rp 65.000,Aneka Senang,Bandung,5,7 ulasan
Lipstik Purbasari Matte,Rp 35.000,Toko Ncie,Kab. Serang,5,11 ulasan
BIOAQUA LIPSTIK SET ISI 12 WARNA - MINI MATTE GLOSS KIT,Rp 24.900,BASICON,Surabaya,4.5,19 ulasan
shannen lipstik shannen lip colour and liptin,Rp 100.000,Lapak Madu One,Kab. Tangerang,3.8,8 ulasan
Lipstik Purbasari Mate original,Rp 27.000,AgnezCosmetics,Cirebon,4.8,162 ulasan
Lipstik Purbasari Colour Matte No. 81 - Diamond,Rp 29.000,lemonlime,Jakarta Barat,5,7 ulasan
lipstick halet lipstik magic bukan hare,Rp 2.500,gudang murah,Jakarta Timur,4.6,19 ulasan
LIPSTIK JUPON MINI ORIGINAL BPOM,Rp 3.500,BASICON,Surabaya,4.5,51 ulasan
Purbasari Color Mate lipstik 81,Rp 40.000,Tarshop,Bekasi,5,8 ulasan
NOVO Lipstik Two Tone Lip Bar Original  007,Rp 29.900,Acc Makeup,Jakarta Utara,4.8,19 ulasan
lipstik matte orange,Rp 75.000,Rosi Apriliani,Kab. Tasikmalaya,5,2 ulasan
PROMO Purbasari Lipstick Color Matte Purbasari Lip Purbasari Lipstik,Rp 27.500,Artemis Shop,Jakarta Utara,4.8,47 ulasan
lipstik viva,Rp 15.000,Faceshope,Kab. Bogor,4.9,9 ulasan
Wardah Lipstik Matte,Rp 29.000,DWI KOSMETIK,Bogor,4.8,19 ulasan
Longlasting Lipstik wardah,Rp 43.000,Nata cosmetics N FasHion,Kab. Bogor,4.9,15 ulasan
Lipstik Moodmatcher Fran Wilson Tahan lama hingga 12 jam dan unik,Rp 60.000,AUREL SHOP,Jakarta Barat,4.9,28 ulasan
JUPON MINI LIPSTIK ORIGINAL BPOM,Rp 4.500,lipice,Surabaya,5,4 ulasan
Lipstick Matte 3CE Mood Recipe Lip Color Mini Kit Box Coklat Lipstik Gift Set Kosmetik Bibir,Rp 39.500,PUSAT,Jakarta Barat,4.4,27 ulasan
OG019 Tempat Lipstik Kosmetik 24 Grid Acrylic Lipstick Organizer Small,Rp 35.900,Jwenc,Jakarta Barat,4.7,16 ulasan
lipstik Purbasari,Rp 50.000,Wahyu,Kab. Bekasi,5,8 ulasan
Pixy Lip Cream Matte Lipstick Lipstik,Rp 35.000,MurahJakarta,Jakarta Pusat,4.5,79 ulasan
Matte Liquid Lipstick Lipstik Lip Stick Ertos Barbie Lip Cream Matte Waterproof Tahan Lama Long Lasting BPOM Asli Original Murah,Rp 100.000,Beautilo,Jakarta Barat,5,7 ulasan
Matte Liquid Lipstick Lipstik Cathy doll - Nude Me 06 Dusty Rose Tahan Lama Long Lastiing BPOM Asli Original Murah,Rp 108.000,Beautilo,Jakarta Barat,5,7 ulasan
Paket Lipstik wardah,Rp 150.000,joe christian,Serang,5,3 ulasan
Bioaqua velvet matte lipstik,Rp 26.500,Galeri Cantik Indonesia,Kab. Tangerang,4.8,6 ulasan
